Test Accuracy,Trial ID
92.14285612106323%,mmAXt
87.14285492897034%,UY1sP
92.14285612106323%,L7bDg
12.857143580913544%,XM5eb
86.42857074737549%,hSie6
95.71428298950195%,jhLvk
89.99999761581421%,eOyPS
89.99999761581421%,oT7tQ
93.57143044471741%,luu82
90.71428775787354%,WDXpE
91.42857193946838%,X52PH
88.57142925262451%,Tlkmo
83.57142806053162%,zntyM
78.57142686843872%,bPM7C
85.00000238418579%,PGosQ
92.14285612106323%,zUTRF
95.71428298950195%,IhCv5
89.28571343421936%,OxMpu
88.57142925262451%,otZRj
89.28571343421936%,I8bJT
90.71428775787354%,xL6tM
93.57143044471741%,y3GYl
93.57143044471741%,formK
89.99999761581421%,qmRli
91.42857193946838%,U2ZXk
91.42857193946838%,tGy41
88.57142925262451%,dZbaS
89.99999761581421%,mcabG
92.14285612106323%,h3o9N
87.85714507102966%,JH2d9
90.71428775787354%,jtYHn
81.42856955528259%,SMwEL
87.85714507102966%,FK4pj
15.000000596046448%,hgxmF
92.85714030265808%,IS0t0
15.714286267757416%,gC8qi
14.28571492433548%,Biqvu
14.28571492433548%,WB8QV
14.28571492433548%,hhUHI
7.14285746216774%,p6ubk
79.28571701049805%,AB859
15.714286267757416%,pOtA4
15.000000596046448%,hiyrH
17.85714328289032%,B6i4o
22.142857313156128%,ep4oL
92.14285612106323%,QBfyw
91.42857193946838%,WjbMW
90.71428775787354%,ejNOp
82.14285969734192%,zX30j
94.9999988079071%,qXG2g
15.000000596046448%,L0zjd
14.28571492433548%,svT9o
88.57142925262451%,vu1oq
77.14285850524902%,itrEQ
30.000001192092896%,TRYaq
94.28571462631226%,sOhCn
89.28571343421936%,i8K4o
90.71428775787354%,JdxtP
92.85714030265808%,GIXMc
87.85714507102966%,UsAXM
88.57142925262451%,WpyuK
90.71428775787354%,BvTym
88.57142925262451%,kMQnb
88.57142925262451%,bjlom
91.42857193946838%,dFds4
89.99999761581421%,oxCXn
94.9999988079071%,Hec9g
91.42857193946838%,SJrtk
88.57142925262451%,LOmZj
85.71428656578064%,XB8BO
87.85714507102966%,gEq0p
89.99999761581421%,Yr4Cx
82.85714387893677%,qL36v
92.14285612106323%,etNch
83.57142806053162%,cMqTb
90.71428775787354%,qcUi8
92.14285612106323%,Rlqji
88.57142925262451%,Lqh7B
87.14285492897034%,JzEWv
94.9999988079071%,j8xpa
94.9999988079071%,gDBsz
94.28571462631226%,hlY31
90.71428775787354%,mFCVG
89.28571343421936%,aTGyu
87.85714507102966%,C48nL
83.57142806053162%,ruyaD
92.14285612106323%,X7hOJ
89.28571343421936%,p8zjR
89.28571343421936%,oTUFM
85.00000238418579%,wEzHN
87.14285492897034%,TM2rO
85.71428656578064%,TbyRs
89.99999761581421%,b5JGj
91.42857193946838%,qEgU4
89.28571343421936%,th1IY
90.71428775787354%,CGvnJ
88.57142925262451%,XAFBF
90.71428775787354%,Ib3Vc
88.57142925262451%,QM8Eb
86.42857074737549%,Lox50
87.85714507102966%,zAHfE
97.14285731315613%,aiTVc
89.99999761581421%,dBeic
93.57143044471741%,YC04k
90.71428775787354%,fWM2c
86.42857074737549%,hPDLI
93.57143044471741%,w8Bd3
92.14285612106323%,oYMsu
88.57142925262451%,R8867
89.99999761581421%,W1C39
92.14285612106323%,hrbMu
17.85714328289032%,FuyRq
92.14285612106323%,xajOM
94.9999988079071%,BETh5
89.28571343421936%,tQIjQ
15.000000596046448%,aRt2k
14.28571492433548%,ATVry
14.28571492433548%,FjRE5
16.428571939468384%,X6ARn
14.28571492433548%,MUJ5g
14.28571492433548%,sTd5U
17.142857611179352%,P1IBy
14.28571492433548%,HgQni
19.285714626312256%,MaGns
91.42857193946838%,EWvxg
16.428571939468384%,l1Wpv
10.71428582072258%,rECNB
14.28571492433548%,e1lIE
14.28571492433548%,a2SUi
14.28571492433548%,WDRna
14.28571492433548%,KCSgL
14.28571492433548%,WdGXf
92.14285612106323%,TwXq0
14.28571492433548%,RkT1U
85.71428656578064%,GU7PD
14.28571492433548%,TMvKc
13.571429252624512%,zaYoK
15.714286267757416%,sxUYo
14.28571492433548%,tBa8m
87.14285492897034%,Tczoy
94.28571462631226%,IlceN
90.71428775787354%,mpw7i
88.57142925262451%,aEB4y
92.85714030265808%,V7J1f
90.71428775787354%,mnjtI
77.14285850524902%,gRT1K
94.28571462631226%,KlGOb
86.42857074737549%,GdzvL
83.57142806053162%,z0z1j
92.14285612106323%,wNtBR
92.85714030265808%,zW6Fj
