Test Accuracy,Trial ID
5.925925821065903%,PSCPh
48.148149251937866%,EvVZP
3.333333507180214%,PPOEq
62.40741014480591%,k1tc5
70.18518447875977%,pB8Ll
74.0740716457367%,MSWoD
64.99999761581421%,POIYv
69.25926208496094%,K5HIv
59.44444537162781%,g3XD3
74.25925731658936%,k5wT3
73.88888597488403%,wwY6c
72.77777791023254%,KlVkS
76.11111402511597%,HZUW9
75.37037134170532%,eJScp
76.66666507720947%,H95dp
75.0%,dftKO
73.33333492279053%,sQfW2
54.07407283782959%,HaVmn
72.9629635810852%,hyqdV
72.22222089767456%,yyho9
6.111111119389534%,f258g
67.22221970558167%,ypE8J
9.074074029922485%,Ajk15
78.14815044403076%,haKNf
72.0370352268219%,yIUl0
75.9259283542633%,h8fb5
14.444445073604584%,DMkvk
15.740740299224854%,mB2Z6
78.5185158252716%,mDQht
62.77777552604675%,VDHhi
65.55555462837219%,xvcA0
74.62962865829468%,L2zrY
76.11111402511597%,iv6Bu
71.29629850387573%,ASsDQ
76.11111402511597%,fKuJh
82.22222328186035%,WTDKB4
77.0370364189148%,kImNP
79.81481552124023%,HdhDf
79.07407283782959%,M6Wgj
80.18518686294556%,aXjXB
77.59259343147278%,LhlEp
75.18518567085266%,HADx2
75.0%,BU73R
76.85185074806213%,C9aeI
60.00000238418579%,ILVPP
77.77777910232544%,vwrXw
77.40740776062012%,eaCyh
72.40740656852722%,ErRcR
73.33333492279053%,po8nD
77.77777910232544%,ZM1H3
9.259258955717087%,HCEzZ
75.55555701255798%,d4Hdw
67.22221970558167%,DCcnW
74.81481432914734%,DLOBM
75.18518567085266%,tt9xa
68.5185194015503%,RWuJE
77.77777910232544%,t4loX
77.40740776062012%,FUlMt
79.62962985038757%,XEXU6
18.703703582286835%,CE3QK
82.59259462356567%,AXQcc
79.62962985038757%,bNh4m
77.77777910232544%,gXIfR
20.74074000120163%,kHA7x
78.33333611488342%,T3rE7
82.03703761100769%,mI7kF
81.29629492759705%,g5hVN
72.77777791023254%,Qx55V
64.07407522201538%,F7c39
79.62962985038757%,fX3zV
9.62962955236435%,cf4X8
72.59259223937988%,yoWPc
69.62962746620178%,apxQB
76.85185074806213%,Ovjzv
79.44444417953491%,FxSUb
78.88888716697693%,hzD2N
75.74074268341064%,gJaqv
77.77777910232544%,XAiJj
79.44444417953491%,tiini
75.55555701255798%,PzU0w
75.9259283542633%,SZdxv
17.037037014961243%,hjg99
78.14815044403076%,GdQoR
76.66666507720947%,prlKM
13.518518209457397%,T72my
78.14815044403076%,Vy3D3
16.111111640930176%,dBPqn
77.22222208976746%,TFq17
79.07407283782959%,nG0do
81.66666626930237%,EN1gr
80.92592358589172%,oRNM6
77.77777910232544%,BmyEv
73.33333492279053%,oY5En
77.59259343147278%,T8v4A
85.5555534362793%,zizq3
82.03703761100769%,b7HpK
80.37037253379822%,FKFtm
3.7037037312984467%,EueiJ
3.7037037312984467%,OVWv1
5.185185000300407%,vHsoG
4.629629477858543%,wYmUr
4.259259253740311%,wNA8Q
3.7037037312984467%,RoMQD
4.259259253740311%,ydoTt
82.03703761100769%,jo6vm
43.88888776302338%,PP6cK
5.55555559694767%,Fmehe
4.074073955416679%,WPRd7
83.14814567565918%,Ce3Dn
4.629629477858543%,CEHdv
62.962961196899414%,vtyHf
79.07407283782959%,Z0dI2
58.14814567565918%,pI9Po
73.88888597488403%,nmbgm
66.85185432434082%,Dl7NY
79.25925850868225%,s6twK
79.62962985038757%,D2jX6
69.9999988079071%,kb2hr
76.11111402511597%,QByoa
65.92592597007751%,Q4vTz
77.77777910232544%,BlQQX
74.81481432914734%,wmrao
71.29629850387573%,Btvha
78.5185158252716%,p4Cm6
60.18518805503845%,i10Tq
67.40740537643433%,GDxql
75.9259283542633%,RN2mn
73.33333492279053%,TAWrl
73.88888597488403%,fOld6
72.77777791023254%,Bmz5X
71.11111283302307%,d2MFr
74.81481432914734%,q3SMg
62.40741014480591%,tn2PF
76.29629373550415%,QazBF
59.074074029922485%,YQwIX
72.22222089767456%,ZXoZf
73.51852059364319%,u7zIx
57.777780294418335%,s0YXQ
80.55555820465088%,QWRHs
62.77777552604675%,ycLq0
84.25925970077515%,WBBfT
77.77777910232544%,gUdfq
10.555555671453476%,vgS0e
81.11110925674438%,wzlZA
75.0%,s9ywG
78.33333611488342%,zpJIm
77.0370364189148%,rZ1ne
3.888889029622078%,w1FpA
70.37037014961243%,sUYXd
78.88888716697693%,u7veV
78.88888716697693%,Oq0CS
69.9999988079071%,Myeg7
78.70370149612427%,YhosF
82.03703761100769%,dTa6R
73.14814925193787%,LZibu
80.0000011920929%,mJQkZ
73.14814925193787%,FwzIx
78.14815044403076%,kI42C
78.88888716697693%,KBpM0
62.40741014480591%,bIH5i
82.40740895271301%,AcM7U
75.37037134170532%,dWZJH
77.22222208976746%,nYEo2
78.33333611488342%,CJkUl
79.44444417953491%,zbsmA
77.0370364189148%,vzJtl
77.9629647731781%,hsGvK
82.77778029441833%,pvZTq
71.85184955596924%,g5n7F
79.07407283782959%,dU73B
61.666667461395264%,qB6OJ
80.18518686294556%,mw8yh
76.11111402511597%,zbXW1
77.22222208976746%,flG2n
76.66666507720947%,zNQPQ
81.29629492759705%,KiHT9
79.07407283782959%,kWM2h
65.92592597007751%,K2sAF
66.85185432434082%,Ttn2e
79.62962985038757%,FlJkz
85.5555534362793%,vWt9b
67.40740537643433%,moN0m
80.37037253379822%,rkQn1
75.18518567085266%,ItbOR
81.11110925674438%,rArm4
80.0000011920929%,ipx1s
79.07407283782959%,Npcsg
79.81481552124023%,rgYwV
66.85185432434082%,ggU31
67.77777671813965%,ADUbh
80.55555820465088%,UZ2i2
80.74073791503906%,lbDCJ
77.77777910232544%,d2Xsq
79.62962985038757%,qoMkt
68.14814805984497%,uVBnx
80.0000011920929%,TxC8M
80.18518686294556%,GbBm5
80.74073791503906%,eMExr
80.18518686294556%,ljfy6
81.11110925674438%,pXKvY
81.4814805984497%,eNSxR
75.18518567085266%,Lr3ti
40.74074029922485%,vgswB
80.0000011920929%,yJENx
83.33333134651184%,y679G
81.85185194015503%,S0ZYx
79.81481552124023%,hcaSM
77.59259343147278%,Eb6Jw
82.03703761100769%,Ung1f
80.18518686294556%,h5icT
81.85185194015503%,Fz4IT
63.333332538604736%,bjObX
82.22222328186035%,r73l1
71.85184955596924%,b4Wa6
79.07407283782959%,zlXGw
81.85185194015503%,taGNC
3.7037037312984467%,sOzG2
4.259259253740311%,rxsnU
3.5185184329748154%,VWto9
3.7037037312984467%,al3O8
4.629629477858543%,yez49
3.7037037312984467%,LdY59
11.11111119389534%,ZEY9f
